ID,Item,Definition,Instrument
50,Are agenda initiatives on territorial issues or territorial integrity prohibited?,Including any question about state territory,Agenda initiative
51,"Are agenda initiatives on state finances (budget, taxes, or other financial obligations) prohibited?",This question refers to a limit on proposing changes in either the revenue or the expenditure side of the state finances or on anything else related to state finances.,Agenda initiative
52,"Are agenda initiativesissues related to national security (military, police, secret services) prohibited?",This question refers to a ban on initiatives about the organisation and the rules of the internal security of the state,Agenda initiative
53,"Are agenda initiatives on emergency powers (declaration of war, state of emergency, etc) and urgent matters prohibited?",This includes a ban on war powers and also state emergency measures,Agenda initiative
54,Are agenda initiatives on pardon and amnesty prohibited?,This question refers to individual and mass measures of setting prisoners free,Agenda initiative
55,Are agenda initiatives on naturalisation issues prohibited?,This question refers to questions about citizenship,Agenda initiative
56,Are agenda initiatives on minorities or minority rights prohibited?,This questions refers to a ban on changing the status or rights of minorities in the country,Agenda initiative
57,Are agenda initiatives on the rules of elections and referendums prohibited?,This questions refers to a ban on changing legal provisions of elections and referendums by a referendum,Agenda initiative
58,Are agenda initiatives on the election or appointment of state officials or civil service laws prohibited?,This questions refers to a ban on having an initiative about single appointments or laws on state personnel,Agenda initiative
59,Are agenda initiatives on legislative competences prohibited?,This question refers to a ban on changing the scope of legislative competences,Agenda initiative
60,Are agenda initiatives on executive competences prohibited?,This question refers to a ban on changing the scope of executive competences,Agenda initiative
61,"Are agenda initiatives on issues related to the judiciary (competences, independence, etc) prohibited?",This question refers to a ban on changing the scope of judicial competences or any other issue that may change the status or independence of the judiciary,Agenda initiative
62,Are agenda initiatives on issues related to local governance prohibited?,"This question refers to a ban on changing the status, the composition or the competences of local governments",Agenda initiative
63,"Are there any other prohibited issues? (If so Yes, describe in Comments)","If there are any other prohibited topics, please indicate those in the comments section",Agenda initiative
64,Who has to formally react to a successful agenda proposal?,Which state institution's agenda is affected by the proposal and who has to respond to it (e.g. is there a special department handling the citizen proposals within the state institution),Agenda initiative
65,What form does that reaction have to take?,"What kind of procedure is triggered by the agenda proposal? E.g. is it a start of an ordinary legislative procedure or is their a special procedure for a citizen-initiated agenda proposal (special hearing, special decision-making)",Agenda initiative
66,How many citizen-initiated agenda proposals have been launched since 1990?,How many agenda initiatives have been started since 1990?,Agenda initiative
67,How many citizen-initiated agenda proposals have been declared formally or substantively inadmissible since 1990?,How many agenda initiatives have failed because a state organ found that they were not compatible with the formal or substantive limits?,Agenda initiative
68,Does this type of agenda initiative exist at the subnational level?,"Whether the instrument has a local or regional version, when the initiated question is put on the agenda of a local entity",Agenda initiative
1,Is there an executive-initiated referendum at the national level?,A referendum (i.e. a popular vote) that can be initiated by the executive (i.e. the government (or parts of it)). A referendum is initiated by the executive if the government or other executive actors start the referendum process by defining the issue for the popular vote. The fact that an other state organ is responsible for calling the referendum (i.e. make the final decision about it) does not matter. The deciding question is who starts the process.,Executive-initiated
2,Is there an explicit legal basis for this type of referendum?,"Whether there is a clear legislative basis for the instrument or it has only evolved in the practice (judicial pratice, etc.).",Executive-initiated
3,"Under what conditions can the referendum be initiated? (Number of ministers, whole government, President etc.)",The specific executiveactors who can initiate a referendum,Executive-initiated
4,Is there a formal admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the formal limits (clarity of the question, unity of substance, unity of form, draft legal text etc.).",Executive-initiated
5,Who decides about the formal admissibility?,Which state institution registers the initiative?,Executive-initiated
6,Is there a legal remedy against the decision on formal admissibility?,"Appeal to a higher administrative, judicial or other state organ against the decision on admissibility/registration",Executive-initiated
7,Who decides about the claim for remedy in the formal admissibility procedure?,Which state institution carries out the appeal procedure,Executive-initiated
8,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the formal admissibility decision (e.g. only the initiators, any citizens, certain state actors etc.)",Executive-initiated
9,Is formal admissibility decided in a special procedure?,"Whether the procedure for registration/admission has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the state organ concerned? Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Executive-initiated
10,Do participants have a right to be heard in the formal admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Executive-initiated
11,Is there an evidentary procedure in the formal admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Executive-initiated
12,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the formal limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Executive-initiated
13,Is invalidity the legal consequence of inadmissibility?,"At the end of the formal admissibility procedure, does the state organ invalidate (i.e. annul) the referendum or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Executive-initiated
14,Is there a substantive admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the substantive limits (not on a prohibited topic, compliance with the constitution etc.).",Executive-initiated
15,Who decides about the substantive admissibility?,Which state institution checks whether the initiative complies with the substantive limits?,Executive-initiated
16,Is there a legal remedy against the decision on substantive admissibility?,"Appeal to a higher administrative, judicial or state organ",Executive-initiated
17,Who decides about the claim for remedy in the substantive admissibility procedure?,Which state institution carries out the appeal procedure,Executive-initiated
18,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the substantive admissibility decision (e.g. only initiators, any citizens, certain state actors etc.)",Executive-initiated
19,Is substantive admissibility decided in a special procedure?,"Whether the procedure for checking the substantive admissibility has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the respective state organ. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Executive-initiated
20,Do participants have a right to be heard in the substantive admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Executive-initiated
21,Is there an evidentary procedure in the substantive admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Executive-initiated
22,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the substantive limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Executive-initiated
23,Is invalidity the legal consequence of inadmissibility?,"At the end of the substantive admissibility procedure, does the state organ invalidate (i.e. annul) the referendum or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Executive-initiated
24,Does the proposal have to be submitted as a (draft) legal text?,Do the initiators have to create a draft of the proposed provision or legal act or is it enough to propose a question?,Executive-initiated
25,Are there any formal limits on the wording of the referendum proposal?,"Whether there are legal restrictions on how the referendum question or issue has to be formulated (e.g. it has to be clear, it has to be a single question, etc.)",Executive-initiated
26,Is there a clarity of the question requirement?,"Whether there is a legal provision that the referendum question or issue has to be formulated precisely, in a clear, non-misleading manner",Executive-initiated
27,Is there a unity of form requirement?,Whether there is a legal provision that the referendum question or issue shall not combine a general and a specifically-worded proposal,Executive-initiated
28,Is there a unity of substance requirement?,Whether there is a legal provision that the different parts of referendum question or issue shall have an internal connection,Executive-initiated
29,"Are there any other formal limits? (if Yes, describe in Comments box)",Whether there are any other requirements about the formulation of the referendum question or issue,Executive-initiated
30,(if rejective) Are certain types of legal acts excluded from being the subject of it?,"Whether a referendum could be held on any legal act (including the constitution, legislative acts, administrative decrees, other measure having the force of law) or is it limited to certain types",Executive-initiated
31,(if rejective) Are constitutional amendments excluded from being the subject of it?,Whether a referendum could only be held about legal acts that are below the constitution in the hierarchy of norms,Executive-initiated
32,(if rejective) Are the legal provisions challenged before or after their entry into force?,Is the subject of the popular vote the proposal for a provision or a legal act (before entry into force) or the already adopted and promulgated act (after entry into force)?,Executive-initiated
33,Can any kind of issue be the subject of a referendum (not counting explicitly prohibited issues)?,"What is the positive scope of referendums/initiatives: which topics can be the subject of a referendum/initiative? This is a question about how the general scope of referendums is defined, without taking into account the explicit topical restrictions.",Executive-initiated
34,Can only issues of special importance be the subjects of referendums?,Is the positive scope of referendums limited to questions that are deemed important?,Executive-initiated
35,Can only certain enumerated issues be the subjects of referendums?,"In this case not any question can be the subject of a referendum, only those topics that are listed in the relevant legal act",Executive-initiated
36,Are there any prohibited issues?,"Are there substantive limits on initiatives and referendums, i.e. certain topics that cannot be the subject of a referendum?",Executive-initiated
37,Are referendums on constitutional amendments prohibited?,"This question refers to a general ban on proposing constitutional changes. If only certain constitutional provisions are excluded from referendums, those provisions/topics should be indicated specifically in the next questions.",Executive-initiated
38,Are referendums related to international law obligations prohibited?,"This question refers to the signing or ratification of international treaties, association with other states and participation in international organisations",Executive-initiated
39,Are referendums related to fundamental rights and freedoms prohibited?,Including both the restriction and the expansion of fundamental rights,Executive-initiated
40,Are referendums on state structure or form of government prohibited?,"This question refers to a ban on changing such fundamental features of the constitutional system as for example parliamentary democracy, separation of powers, etc.",Executive-initiated
41,Are referendums on state symbols prohibited?,"Including state flag, national anthem, etc.",Executive-initiated
42,Are referendums on the official language prohibited?,This question refers to a ban on changing the official language,Executive-initiated
43,Are referendums on territorial issues or territorial integrity prohibited?,Including any question about state territory,Executive-initiated
44,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",This question refers to a limit on proposing changes in either the revenue or the expenditure side of the state finances or on anything else related to state finances.,Executive-initiated
45,"Are referendums issues related to national security (military, police, secret services) prohibited?",This question refers to a ban on referendums about the organisation and the rules of the internal security of the state,Executive-initiated
46,"Are referendums on emergency powers (declaration of war, state of emergency, etc) and urgent matters prohibited?",This includes a ban on war powers and also state emergency measures,Executive-initiated
47,Are referendums on pardon and amnesty prohibited?,This question refers to individual and mass measures of setting prisoners free,Executive-initiated
48,Are referendums on naturalisation issues prohibited?,This question refers to questions about citizenship,Executive-initiated
49,Are referendums on minorities or minority rights prohibited?,This questions refers to a ban on changing the status or rights of minorities in the country,Executive-initiated
50,Are referendums on the rules of elections and referendums prohibited?,This questions refers to a ban on changing legal provisions of elections and referendums by a referendum,Executive-initiated
51,Are referendums on the election or appointment of state officials or civil service laws prohibited?,This questions refers to a ban on having a referendum about single appointments or laws on state personnel,Executive-initiated
52,Are referendums on legislative competences prohibited?,This question refers to a ban on changing the scope of legislative competences,Executive-initiated
53,Are referendums on executive competences prohibited?,This question refers to a ban on changing the scope of executive competences,Executive-initiated
54,"Are referendums on issues related to the judiciary (competences, independence, etc) prohibited?",This question refers to a ban on changing the scope of judicial competences or any other issue that may change the status or independence of the judiciary,Executive-initiated
55,Are referendums on issues related to local governance prohibited?,"This question refers to a ban on changing the status, the composition or the competences of local governments",Executive-initiated
56,"Are there any other prohibited issues? (if Yes, describe in Comments box)","If there are any other prohibited topics, please indicate those in the comments section",Executive-initiated
57,Is it mandatory to call the referendum?,"In case all the requirements are fulfilled (e.g. it complies with the limits) is it mandatory to authorise the referendum or does the institution that calls the referendum has some leeway, some margin of discretion",Executive-initiated
58,Is the referendum result binding?,"Whether the successful referendum leads to an automatic change of the law or forces the legislature to adopt a law, or is it only advisory and the legislature decides if it wants to give effect to the referendum result",Executive-initiated
59,Turnout quorum,Number (percentage) of participants in the popular vote required for the vote to be valid,Executive-initiated
60,Approval quorum,Number of voters (percentage) who have to approve the referendum for it to pass,Executive-initiated
61,Territorial approval threshold,"The turnout or the approval quorum is linked to a number of territorial units, so for a referendum to be valid and sucessful a number of territorial units must be represented by the voters",Executive-initiated
62,Who is responsible for certifying/validating the referendum result?,Who establishes the final results of the referendum after the counting of the votes? This question refers to the state body that makes the official decision on the results.,Executive-initiated
63,Does this type of referendum exist at the subnational level?,"Whether the instrument has a local or regional version, when the vote also takes place at local level",Executive-initiated
1,Is there a law-initiated referendum at the national level?,"A referendum (i.e. a popular vote) that is triggered if certain conditions specified by law (i.e. the constitution or a piece of legislation) are met. The law may determine the topic (e.g. transfer of sovereignty) or the type of legal act (e.g. constitutional amendment) that triggers the referendum process. The law can either directly require the holding of a referendum or require it in case certain additional conditions are not met (e.g. a constitutional amendment is not passed by a supermajority in parliament). In the latter case, if the conditions are not met, the state organs have no other choice but to call a referendum, so the referendum is triggered by law, not initiated by the state organ.",Law-initiated
2,Any constitutional amendment triggers a referendum?,This question refers to a legal provision which mandates that any consitutional amendment shall be suppported by a referendum,Law-initiated
3,Certain constitutional amendments trigger a referendum?,This question refers to a legal provision which mandates that only some consitutional amendment shall be suppported by a referendum,Law-initiated
4,The total revision of the constitution triggers a referendum?,This question refers to a legal provision which mandates that only the adoption of a new constitution or a total revision of the old constitution shall be suppported by a referendum,Law-initiated
5,Territorial changes trigger a referendum?,This question refers to a legal provision which mandates that changes to state borders or territory shall be suppported by a referendum,Law-initiated
6,The ratification of any international treaty triggers a referendum?,This question refers to a legal provision which mandates that the ratification of any international agreement shall be suppported by a referendum,Law-initiated
7,The ratification of certain international treaties triggers a referendum?,This question refers to a legal provision which mandates that only the ratification of some international agreements shall be suppported by a referendum,Law-initiated
8,The association with any other state or international organisation triggers a referendum?,This question refers to a legal provision which mandates that all associations with other states or international organisations shall be suppported by a referendum,Law-initiated
9,The association with certain states or international organisations triggers a referendum?,This question refers to a legal provision which mandates that only some associations with other states or international organisations shall be suppported by a referendum,Law-initiated
10,Are there any other issues or events that trigger a referendum?,"If there are any other events or issues for which a legal provision prescribes a referendum, please indictate those in the comment section",Law-initiated
11,Are there any exceptions when a referendum is not required to take place even though the triggering event or issue exists?,Such an exception could be some specific decision-making quorum (e.g. supermajority in the parliament) or some special institutional setting (e.g. a special constitutional assembly decides) in which case no referendum has to be held,Law-initiated
12,Are there any procedures for reviewing the triggering issue or event?,Whether there are any procedures that apply to law-initiated referendums. For example a judicial review of the issue put to a referendum.,Law-initiated
12,Are there any unamendable constitutional provisions that limit referendums?,This question applies only to law-initiated referendums. The question is whether there are constitutional provisions that cannot be changed. Please indicate in the comment section whether such unamendable constitutional provisions can be changed  by a referendum or are they limiting the scope of referendums.,Law-initiated
13,Are referendums related to international law obligations prohibited?,"This question refers to the signing or ratification of international treaties, association with other states and participation in international organisations",Law-initiated
14,Are referendums related to fundamental rights and freedoms prohibited?,Including both the restriction and the expansion of fundamental rights,Law-initiated
15,Are referendums on state structure or form of government prohibited?,"This question refers to a ban on changing such fundamental features of the constitutional system as for example parliamentary democracy, separation of powers, etc.",Law-initiated
16,Are referendums on state symbols prohibited?,"Including state flag, national anthem, etc.",Law-initiated
17,Are referendums on the official language prohibited?,This question refers to a ban on changing the official language,Law-initiated
18,Are referendums on territorial issues or territorial integrity prohibited?,Including any question about state territory,Law-initiated
19,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",This question refers to a limit on proposing changes in either the revenue or the expenditure side of the state finances or on anything else related to state finances.,Law-initiated
20,"Are referendums issues related to national security (military, police, secret services) prohibited?",This question refers to a ban on referendums about the organisation and the rules of the internal security of the state,Law-initiated
21,"Are referendums on emergency powers (declaration of war, state of emergency, etc) and urgent matters prohibited?",This includes a ban on war powers and also state emergency measures,Law-initiated
22,Are referendums on pardon and amnesty prohibited?,This question refers to individual and mass measures of setting prisoners free,Law-initiated
23,Are referendums on naturalisation issues prohibited?,This question refers to questions about citizenship,Law-initiated
24,Are referendums on minorities or minority rights prohibited?,This questions refers to a ban on changing the status or rights of minorities in the country,Law-initiated
25,Are referendums on the rules of elections and referendums prohibited?,This questions refers to a ban on changing legal provisions of elections and referendums by a referendum,Law-initiated
26,Are referendums on the election or appointment of state officials or civil service laws prohibited?,This questions refers to a ban on having a referendum about single appointments or laws on state personnel,Law-initiated
27,Are referendums on legislative competences prohibited?,This question refers to a ban on changing the scope of legislative competences,Law-initiated
28,Are referendums on executive competences prohibited?,This question refers to a ban on changing the scope of executive competences,Law-initiated
29,"Are referendums on issues related to the judiciary (competences, independence, etc) prohibited?",This question refers to a ban on changing the scope of judicial competences or any other issue that may change the status or independence of the judiciary,Law-initiated
30,Are referendums on issues related to local governance prohibited?,"This question refers to a ban on changing the status, the composition or the competences of local governments",Law-initiated
31,"Are there any other prohibited issues? (if Yes, describe in Comments box)","If there are any other prohibited topics, please indicate those in the comments section",Law-initiated
32,Are there any formal limits on the wording of the referendum proposal?,"Whether there are legal restrictions on how the referendum question or issue has to be formulated (e.g. it has to be clear, it has to be a single question, etc.)",Law-initiated
33,Is there a clarity of the question requirement?,"Whether there is a legal provision that the referendum question or issue has to be formulated precisely, in a clear, non-misleading manner",Law-initiated
34,Is there a unity of form requirement?,Whether there is a legal provision that the referendum question or issue shall not combine a general and a specifically-worded proposal,Law-initiated
35,Is there a unity of substance requirement?,Whether there is a legal provision that the different parts of referendum question or issue shall have an internal connection,Law-initiated
36,"Are there any other formal limits? (if Yes, describe in Comments box)",Whether there are any other requirements about the formulation of the referendum question or issue,Law-initiated
37,Is the referendum result binding?,"Whether the successful referendum leads to an automatic change of the law or forces the legislature to adopt a law, or is it only advisory and the legislature decides if it wants to give effect to the referendum result",Law-initiated
38,Turnout quorum,Number (percentage) of participants in the popular vote required for the vote to be valid,Law-initiated
39,Approval quorum,Number of voters (percentage) who have to approve the referendum for it to pass,Law-initiated
40,"Territorial approval threshold (if Yes, describe in Comments box)","The turnout or the approval quorum is linked to a number of territorial units, so for a referendum to be valid and sucessful a number of territorial units must be represented by the voters",Law-initiated
41,Who is responsible for certifying/validating the referendum result?,Who establishes the final results of the referendum after the counting of the votes? This question refers to the state body that makes the official decision on the results.,Law-initiated
42,Does this type of referendum exist at the subnational level?,"Whether this instrument has a local or regional version, when the vote also takes place at local level",Law-initiated
1,Is there a legislature-initiated referendum at the national level?,A referendum (i.e. a popular vote) that can be initiated by the legislature (i.e. parliament (or parts of it)). A referendum is initiated by the legislature if the parliament or members of the parliament start the referendum process by defining the issue for the popular vote. The fact that an other state organ is responsible for calling the referendum (i.e. make the final decision about it) does not matter. The deciding question is who starts the process.,Legislature-initiated
2,Is there an explicit legal basis for this type of referendum?,"Whether there is a clear legislative basis for the instrument or it has only evolved in the practice (judicial pratice, etc.). In case of legislative-initiatives this would include the practice of ad hoc referendums where a specific legal act is created to initiate a referendum on a certain issue, but there are no general rules about referendums.",Legislature-initiated
3,"Under what conditions can the referendum be initiated? (number of deputies, etc.)",The specific legislative actors who can initiate a referendum,Legislature-initiated
4,Is there a formal admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the formal limits (clarity of the question, unity of substance, unity of form, draft legal text etc.).",Legislature-initiated
5,Who decides about the formal admissibility?,Which state institution registers the initiative?,Legislature-initiated
6,Is there a legal remedy against the decision on formal admissibility?,"Appeal to a higher administrative, judicial or other state organ against the decision on admissibility/registration",Legislature-initiated
7,Who decides about the claim for remedy in the formal admissibility procedure?,Which state institution carries out the appeal procedure,Legislature-initiated
8,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the formal admissibility decision (e.g. only the initiators, any citizens, certain state actors etc.)",Legislature-initiated
9,Is formal admissibility decided in a special procedure?,"Whether the procedure for registration/admission has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the state organ concerned? Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Legislature-initiated
10,Do participants have a right to be heard in the formal admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Legislature-initiated
11,Is there an evidentary procedure in the formal admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Legislature-initiated
12,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the formal limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Legislature-initiated
