Country,ID,Instrument,insID,idOrder,Type,Question,Answer,Sources,Comment,instrumentDF,filterCountry
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_45,49,Substantive limit,Are referendums related to fundamental rights and freedoms prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_46,50,Substantive limit,Are referendums on state structure or form of government prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_47,51,Substantive limit,Are referendums on state symbols prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_48,52,Substantive limit,Are referendums on the official language prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_49,53,Substantive limit,Are referendums on territorial issues or territorial integrity prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_50,54,Substantive limit,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_51,55,Substantive limit,"Are referendums on issues related to national security (military, police, secret services) prohibited?",NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_52,56,Substantive limit,"Are referendums on emergency powers (declaration of war, state of emergency etc) or urgent matters prohibited?",NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_53,57,Substantive limit,Are referendums on pardon and amnesty prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_54,58,Substantive limit,Are referendums on naturalisation issues prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_55,59,Substantive limit,Are referendums on minorities or minority rights prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_56,60,Substantive limit,Are referendums on the rules of elections and referendums prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_57,61,Substantive limit,Are referendums on the election or appointment of state officials or civil service laws prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_58,62,Substantive limit,Are referendums on legislative competences prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_59,63,Substantive limit,Are referendums on executive competences prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_60,64,Substantive limit,"Are referendums on issues related to the judiciary (competences, independence etc) prohibited?",NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_61,65,Substantive limit,Are referendums on issues related to local governance prohibited?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_62,66,Substantive limit,Are there any other prohibited issues?,NA,NA,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_63,73,Agenda related,Who has to formally react to a successful agenda proposal?,Legislature,Art. 83 of the Constitution; Art. 5(3) and Art. 15 of the Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_64,74,Agenda related,What form does that reaction have to take?,Ordinary legislative procedure,Art. 83 of the Constitution; Art. 5(3) and Art. 15 of the Law No. 54/2019 on the Legislative Initiative of Voters,NA,Agenda_initiative,Yes
Albania,Albania_Agenda initiative,Agenda initiative,Agenda_67,89,Subnational related,Does this type of instrument exist at the subnational level?,No,NA,NA,Agenda_initiative,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_1,1,General,Is the instrument available at national level?,Yes,art. 150.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_2,2,General,Is there an explicit legal basis for this type of referendum?,Yes,art. 150.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_3,3,General,"Under what conditions can the instrument be initiated (number of ministers, whole government, President etc.)?",Government,art. 150.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_4,13,Formal procedure,Is there a formal admissibility check?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_5,14,Formal procedure,Who decides about the formal admissibility?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_6,15,Formal procedure,Is there a legal remedy against the decision on formal admissibility?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_7,16,Formal procedure,Who decides about the claim for remedy in the formal admissibility procedure?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_8,17,Formal procedure,Who can initiate the formal remedy procedure (state actor - initiator - anyone)?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_9,19,Formal procedure,Is formal admissibility decided in a special procedure?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_10,20,Formal procedure,Do participants have a right to be heard in the formal admissibility procedure?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_11,21,Formal procedure,Is there an evidentiary procedure in the formal admissibility procedure?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_12,22,Formal procedure,Are the legal consequences of the formal admissibility procedures binding?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_13,23,Formal procedure,Is invalidity the legal consequence of formal inadmissibility?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_14,24,Substantive procedure,Is there a substantive admissibility check?,Yes,"art 152.1,2 of the Constitution",NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_15,25,Substantive procedure,Who decides about the substantive admissibility?,Constitutional court,art 152.1 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_16,26,Substantive procedure,Is there a legal remedy against the decision on substantive admissibility?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_17,27,Substantive procedure,Who decides about the claim for remedy in the substantive admissibility procedure?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_18,28,Substantive procedure,Who can initiate the substantive remedy procedure (state actor - initiator - anyone)?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_19,30,Substantive procedure,Is substantive admissibility decided in a special procedure?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_20,31,Substantive procedure,Do participants have a right to be heard in the substantive admissibility procedure?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_21,32,Substantive procedure,Is there an evidentiary procedure in the substantive admissibility procedure?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_22,33,Substantive procedure,Are the legal consequences of the substantive admissibility procedure binding?,Yes,art. 150.3 and 152.3 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_23,34,Substantive procedure,Is invalidity the legal consequence of substantive inadmissibility?,Yes,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_24,35,Formal limit,Does the proposal have to be submitted as a (draft) legal text?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_25,36,Formal limit,Are there any formal limits on the wording of the referendum proposal?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_26,37,Formal limit,Is there a clarity of the question requirement?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_27,38,Formal limit,Is there a unity of form requirement?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_28,39,Formal limit,Is there a unity of substance requirement?,NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_29,40,Formal limit,"Are there any other formal limits? If Yes, describe in comments.",NA,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_30,41,Substantive limit,Are certain type of legal acts excluded from being the subject of it?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_31,42,Substantive limit,Are constitutional amendments excluded from being the subject of it?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_32,43,Substantive limit,Are the legal provisions challenged before or after their entry into force?,Before,art 150.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_33,44,Substantive limit,Can only issues of special importance be the subject of referendums?,Yes,art 150.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_34,45,Substantive limit,Can only certain enumerated issues be the subject of referendums?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_35,46,Substantive limit,Are there any prohibited issues?,Yes,art 151.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_36,47,Substantive limit,Are referendums on constitutional amendments prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_37,48,Substantive limit,Are referendums related to international law obligations prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_38,49,Substantive limit,Are referendums related to fundamental rights and freedoms prohibited?,Yes,art 151.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_39,50,Substantive limit,Are referendums on state structure or form of government prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_40,51,Substantive limit,Are referendums on state symbols prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_41,52,Substantive limit,Are referendums on the official language prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_42,53,Substantive limit,Are referendums on territorial issues or territorial integrity prohibited?,Yes,art 151.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_43,54,Substantive limit,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",Yes,art 151.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_44,55,Substantive limit,"Are referendums on issues related to national security (military, police, secret services) prohibited?",No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_45,56,Substantive limit,"Are referendums on emergency powers (declaration of war, state of emergency etc) or urgent matters prohibited?",Yes,art 151.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_46,57,Substantive limit,Are referendums on pardon and amnesty prohibited?,Yes,art 151.2 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_47,58,Substantive limit,Are referendums on naturalisation issues prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_48,59,Substantive limit,Are referendums on minorities or minority rights prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_49,60,Substantive limit,Are referendums on the rules of elections and referendums prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_50,61,Substantive limit,Are referendums on the election or appointment of state officials or civil service laws prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_51,62,Substantive limit,Are referendums on legislative competences prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_52,63,Substantive limit,Are referendums on executive competences prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_53,64,Substantive limit,"Are referendums on issues related to the judiciary (competences, independence etc) prohibited?",No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_54,65,Substantive limit,Are referendums on issues related to local governance prohibited?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_55,66,Substantive limit,Are there any other prohibited issues?,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_56,67,Referendum related,Is it mandatory to call the referendum?,No,art. 129.3 Electoral Code,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_57,68,Referendum related,Is the referendum result binding?,Yes,art. 151.1 of the Constitution; art. 121 old electoral code,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_58,69,Referendum related,Turnout quorum,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_59,70,Referendum related,Approval quorum,Qualified majority,art. 118.3 Electoral Code,Majority of participants and more than 1/3 of the electorate,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_60,71,Referendum related,Territorial approval threshold,No,NA,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_61,72,Referendum related,Who is responsible for certifying/validating the referendum result?,Constitutional court,art. 131.1.ë of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Executive-initiated,Executive-initiated,Executive_62,89,Subnational related,Does this type of instrument exist at the subnational level?,Yes,art. 108.4 of the Constitution,NA,Executive_initiated,Yes
Albania,Albania_Law-initiated,Law-initiated,Law_1,1,General,Is the instrument available at national level?,No,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_34,36,Formal limit,Are there any formal limits on the wording of the referendum proposal?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_35,37,Formal limit,Is there a clarity of the question requirement?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_36,38,Formal limit,Is there a unity of form requirement?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_37,39,Formal limit,Is there a unity of substance requirement?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_38,40,Formal limit,"Are there any other formal limits? If Yes, describe in comments.",NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_14,46,Substantive limit,Are there any prohibited issues?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_15,48,Substantive limit,Are referendums related to international law obligations prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_16,49,Substantive limit,Are referendums related to fundamental rights and freedoms prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_17,50,Substantive limit,Are referendums on state structure or form of government prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_18,51,Substantive limit,Are referendums on state symbols prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_19,52,Substantive limit,Are referendums on the official language prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_20,53,Substantive limit,Are referendums on territorial issues or territorial integrity prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_21,54,Substantive limit,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_22,55,Substantive limit,"Are referendums on issues related to national security (military, police, secret services) prohibited?",NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_23,56,Substantive limit,"Are referendums on emergency powers (declaration of war, state of emergency etc) or urgent matters prohibited?",NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_24,57,Substantive limit,Are referendums on pardon and amnesty prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_25,58,Substantive limit,Are referendums on naturalisation issues prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_26,59,Substantive limit,Are referendums on minorities or minority rights prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_27,60,Substantive limit,Are referendums on the rules of elections and referendums prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_28,61,Substantive limit,Are referendums on the election or appointment of state officials or civil service laws prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_29,62,Substantive limit,Are referendums on legislative competences prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_30,63,Substantive limit,Are referendums on executive competences prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_31,64,Substantive limit,"Are referendums on issues related to the judiciary (competences, independence etc) prohibited?",NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_32,65,Substantive limit,Are referendums on issues related to local governance prohibited?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_33,66,Substantive limit,Are there any other prohibited issues?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_39,68,Referendum related,Is the referendum result binding?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_40,69,Referendum related,Turnout quorum,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_41,70,Referendum related,Approval quorum,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_42,71,Referendum related,Territorial approval threshold,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_43,72,Referendum related,Who is responsible for certifying/validating the referendum result?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_2,75,Law related,Does any constitutional amendment trigger a referendum?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_3,76,Law related,Do certain constitutional amendments trigger a referendum?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_4,77,Law related,Does the total revision of the constitution trigger a referendum?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_5,78,Law related,Do territorial changes trigger a referendum?,NA,NA,NA,Law_initiated,NA
Albania,Albania_Law-initiated,Law-initiated,Law_6,79,Law related,Does the ratification of any international treaty trigger a referendum?,NA,NA,NA,Law_initiated,NA
